SWZone,River
F_CarC01,Carrickalinga
F_CarC06,Carrickalinga
F_CarC10,Carrickalinga
F_CarC11,Carrickalinga
F_Bung05,Bungala
F_Bung06,Bungala
F_Bung03,Bungala
F_Bung02,Bungala
F_CarH06,WMLR Tribs
F_CarH05,WMLR Tribs
F_CarH04,WMLR Tribs
F_CarH03,WMLR Tribs
F_CarH01,WMLR Tribs
F_CarH02,WMLR Tribs
F_RapB01,WMLR Tribs
F_BoHH01,WMLR Tribs
F_Wirr01,WMLR Tribs
F_Lady01,WMLR Tribs
F_Link01,WMLR Tribs
F_RapH01,WMLR Tribs
F_Para01,WMLR Tribs
F_Star01,WMLR Tribs
F_Fish01,WMLR Tribs
F_CapJ02,WMLR Tribs
F_Tunk03,WMLR Tribs
F_VicH01,WMLR Tribs
F_PortE01,WMLR Tribs
F_Gool01,WMLR Tribs
F_Tali01,WMLR Tribs
F_Cooa01,WMLR Tribs
F_Naik01,WMLR Tribs
F_AarT02,WMLR Tribs
F_Tapa04,WMLR Tribs
F_VicW01,WMLR Tribs
F_First02,WMLR Tribs
F_Balq01,WMLR Tribs
F_Bare01,WMLR Tribs
F_Ball04,WMLR Tribs
F_Yank27,Yankalilla
F_Yank22,Yankalilla
F_Yank21,Yankalilla
F_Yank20,Yankalilla
F_Yank15,Yankalilla
F_Yank13,Yankalilla
F_Yank08,Yankalilla
F_Yank05,Yankalilla
F_Yank25,Yankalilla
F_Cool10,WMLR Tribs
F_Tunk01,WMLR Tribs
F_Tunk02,WMLR Tribs
F_Tunk04,WMLR Tribs
F_TunC10,WMLR Tribs
F_TunC11,WMLR Tribs
F_TunB03,WMLR Tribs
F_Tapa03,WMLR Tribs
F_AarT06,WMLR Tribs
F_AarT05,WMLR Tribs
F_AarT03,WMLR Tribs
F_Tali02,WMLR Tribs
F_CapJ03,WMLR Tribs
F_Salt06,WMLR Tribs
F_Salt03,WMLR Tribs
F_Yoho05,WMLR Tribs
F_Yoho06,WMLR Tribs
F_RapH03,WMLR Tribs
F_RapH02,WMLR Tribs
F_Yatt07,WMLR Tribs
F_Yatt06,WMLR Tribs
F_Yatt04,WMLR Tribs
F_Yatt05,WMLR Tribs
F_Yatt02,WMLR Tribs
F_Para02,WMLR Tribs
F_AnaC11,WMLR Tribs
F_AnaC10,WMLR Tribs
F_AnaC09,WMLR Tribs
F_AnaC08,WMLR Tribs
F_AnaC06,WMLR Tribs
F_AnaC05,WMLR Tribs
F_Inman16,Inman
F_CarC02,Carrickalinga
F_Mypo23,Myponga
F_Mypo16,Myponga
F_Mypo13,Myponga
F_Yank04,Yankalilla
F_Inman31,Inman
F_Ball03,WMLR Tribs
F_AnaC07,WMLR Tribs
F_AnaC02,WMLR Tribs
F_Inman02,Inman
F_Mypo11,Myponga
F_Inman05,Inman
F_Blow03,WMLR Tribs
F_Blow02,WMLR Tribs
F_Tapa02,WMLR Tribs
F_Deep07,WMLR Tribs
F_TunB01,WMLR Tribs
F_TunC08,WMLR Tribs
F_TunC09,WMLR Tribs
F_Inman33,Inman
F_TunC01,WMLR Tribs
F_TunC02,WMLR Tribs
F_Salt01,WMLR Tribs
F_Inman41,Inman
F_Bung07,Bungala
F_Inman21,Inman
F_Mypo05,Myponga
F_Mypo08,Myponga
F_TunC06,WMLR Tribs
F_Inman26,Inman
F_Inman25,Inman
F_Mypo09,Myponga
F_Mypo24,Myponga
F_CarC12,Carrickalinga
F_NewH03,WMLR Tribs
F_Inman40,Inman
F_Litt01,WMLR Tribs
F_Midd01,WMLR Tribs
F_NewH01,WMLR Tribs
F_Yank02,Yankalilla
F_Hind16,Hindmarsh
F_CapJ01,WMLR Tribs
F_Salt05,WMLR Tribs
F_Salt04,WMLR Tribs
F_Salt02,WMLR Tribs
F_Pars01,WMLR Tribs
F_Tapa01,WMLR Tribs
F_Hind07,Hindmarsh
F_Hind13,Hindmarsh
F_Inman04,Inman
F_Yank03,Yankalilla
F_Inman30,Inman
F_Hind20,Hindmarsh
F_AnaC03,WMLR Tribs
F_Yoho01,WMLR Tribs
F_Cool09,WMLR Tribs
F_Cool11,WMLR Tribs
F_CarC07,Carrickalinga
F_Yank12,Yankalilla
F_Yoho04,WMLR Tribs
F_Yatt03,WMLR Tribs
F_Inman27,Inman
F_Link02,WMLR Tribs
W_Robs01,WillungaBasin
W_Blan01,WillungaBasin
W_Pedl03,WillungaBasin
W_Ingl01,WillungaBasin
W_Pedl01,WillungaBasin
W_Pedl04,WillungaBasin
W_Pedl06,WillungaBasin
W_Pedl05,WillungaBasin
W_Pedl08,WillungaBasin
W_Ingl05,WillungaBasin
W_Will02,WillungaBasin
W_Will05,WillungaBasin
W_Silv02,WillungaBasin
W_Silv04,WillungaBasin
W_Silv06,WillungaBasin
W_Sell01,WillungaBasin
W_Blac01,WillungaBasin
W_Blac02,WillungaBasin
W_Silv08,WillungaBasin
W_Silv03,WillungaBasin
W_Silv05,WillungaBasin
W_Ingl02,WillungaBasin
W_Will04,WillungaBasin
W_Silv01,WillungaBasin
W_Pedl09,WillungaBasin
W_Ingl03,WillungaBasin
W_Ingl04,WillungaBasin
W_Pedl10,WillungaBasin
W_Pedl07,WillungaBasin
W_Pedl11,WillungaBasin
W_Will03,WillungaBasin
W_Will01,WillungaBasin
W_Silv07,WillungaBasin
W_Silv09,WillungaBasin
W_Sell02,WillungaBasin
W_Sell03,WillungaBasin
W_Sell04,WillungaBasin
W_Blac03,WillungaBasin
W_Pedl02,WillungaBasin
T_Six04,Torrens
T_MP03,Torrens
T_MP01,Torrens
T_MP02,Torrens
T_Bir06,Torrens
T_Bir01,Torrens
T_Bir02,Torrens
T_Mil04,Torrens
T_Mil02,Torrens
T_Mil01,Torrens
T_Ker06,Torrens
T_Bir05,Torrens
T_Han01,Torrens
T_Han02,Torrens
T_Ken01,Torrens
T_Ang01,Torrens
T_Kan06,Torrens
T_Kan04,Torrens
T_Cud05,Torrens
T_Cud03,Torrens
T_Cud02,Torrens
T_Six01,Torrens
T_Six02,Torrens
T_Six06,Torrens
T_Six05,Torrens
T_Six07,Torrens
T_Six09,Torrens
T_Ker01,Torrens
T_Mil03,Torrens
T_Bir03,Torrens
T_Ker02,Torrens
T_Ker03,Torrens
T_Bir07,Torrens
T_Ker05,Torrens
T_Gum03,Torrens
T_Gum04,Torrens
T_Cud08,Torrens
T_McC02,Torrens
T_Cud04,Torrens
T_McC01,Torrens
T_Foo01,Torrens
T_Ang02,Torrens
T_Cud06,Torrens
T_Cud07,Torrens
T_Kan03,Torrens
T_Six08,Torrens
T_Ker04,Torrens
T_Cud01,Torrens
T_Six03,Torrens
T_Kan01,Torrens
T_Kan05,Torrens
T_Kan02,Torrens
T_McC03,Torrens
T_Mil05,Torrens
T_Gum02,Torrens
T_Foo02,Torrens
T_Bir04,Torrens
T_Gum01,Torrens
S_LC22,SouthPara
S_LC19,SouthPara
S_UC02,SouthPara
S_LC25,SouthPara
S_LC06,SouthPara
S_LC05,SouthPara
S_LC01,SouthPara
S_LC03,SouthPara
S_LC02,SouthPara
S_MC01,SouthPara
S_LC13,SouthPara
S_LC20,SouthPara
S_MC02,SouthPara
S_MC06,SouthPara
S_MC24,SouthPara
S_LC17,SouthPara
S_MC03,SouthPara
S_MC05,SouthPara
S_LC15,SouthPara
S_UC04,SouthPara
S_UC05,SouthPara
S_UC06,SouthPara
S_MC23,SouthPara
S_MC20,SouthPara
S_MC13,SouthPara
S_MC14,SouthPara
S_MC16,SouthPara
S_MC15,SouthPara
S_MC12,SouthPara
S_MC10,SouthPara
S_MC11,SouthPara
S_LC12,SouthPara
S_LC07,SouthPara
S_LC09,SouthPara
S_UC01,SouthPara
S_MC09,SouthPara
S_MC08,SouthPara
S_MC07,SouthPara
S_MC04,SouthPara
S_MC18,SouthPara
S_MC22,SouthPara
S_MC21,SouthPara
S_LC08,SouthPara
S_LC10,SouthPara
S_LC14,SouthPara
S_LC18,SouthPara
S_LC16,SouthPara
S_LC04,SouthPara
S_LC21,SouthPara
S_LC24,SouthPara
S_LC23,SouthPara
S_UC03,SouthPara
S_LC11,SouthPara
S_MC19,SouthPara
S_LC26,SouthPara
S_MC17,SouthPara
L_GC02,WMLR Tribs
L_LPR01,WMLR Tribs
L_LPR02,WMLR Tribs
L_GC01,WMLR Tribs
L_LLP02,WMLR Tribs
L_LLP01,WMLR Tribs
L_ULP14,WMLR Tribs
L_ULP12,WMLR Tribs
L_ULP15,WMLR Tribs
L_ULP06,WMLR Tribs
L_ULP09,WMLR Tribs
L_ULP07,WMLR Tribs
L_ULP10,WMLR Tribs
L_ULP04,WMLR Tribs
L_ULP05,WMLR Tribs
L_ULP01,WMLR Tribs
L_ULP02,WMLR Tribs
L_ULP03,WMLR Tribs
L_ULP08,WMLR Tribs
L_ULP11,WMLR Tribs
L_ULP13,WMLR Tribs
L_GC03,WMLR Tribs
O_OM12_u,Onkaparinga
O_OM10_u,Onkaparinga
O_OM11_u,Onkaparinga
O_OM08_u,Onkaparinga
O_OM08_u1,Onkaparinga
L_LLP02_u,WMLR Tribs
L_LLP03_u,WMLR Tribs
AR 01,KI Tribs
AR 02,KI Tribs
BL 01,KI Tribs
BOS 01,KI Tribs
BOS 02,KI Tribs
BOS 03,KI Tribs
BOS 04,KI Tribs
CC 01,KI Tribs
CC 02,KI Tribs
CC 03,KI Tribs
CC 04,KI Tribs
CC 05,KI Tribs
CC 06,KI Tribs
CD 01,KI Tribs
CD 02,KI Tribs
CD 03,KI Tribs
CF 01,KI Tribs
CF 02,KI Tribs
CF 03,KI Tribs
CH 01,KI Tribs
CR 01,KI Tribs
CR 02,KI Tribs
CR 03,KI Tribs
CR 04,KI Tribs
CR 05,KI Tribs
CR 06,KI Tribs
CYR 01,Cygnet
CYR 02,Cygnet
CYR 03,Cygnet
CYR 04,Cygnet
CYR 05,Cygnet
CYR 06,Cygnet
CYR 07,Cygnet
CYR 08,Cygnet
CYR 09,Cygnet
CYR 10,Cygnet
CYR 11,Cygnet
CYR 12,Cygnet
CYR 13,Cygnet
CYR 14,Cygnet
CYR 15,Cygnet
CYR 16,Cygnet
CYR 17,Cygnet
CYR 18,Cygnet
CYR 19,Cygnet
CYR 20,Cygnet
CYR 21,Cygnet
CYR 22,Cygnet
CYR 23,Cygnet
CYR 24,Cygnet
CYR 25,Cygnet
CYR 26,Cygnet
CYR 27,Cygnet
CYR 28,Cygnet
CYR 29,Cygnet
CYR 30,Cygnet
CYR 31,Cygnet
CYR 32,Cygnet
CYR 33,Cygnet
CYR 34,Cygnet
CYR 35,Cygnet
CYR 36,Cygnet
CYR 37,Cygnet
CYR 38,Cygnet
CYR 39,Cygnet
CYR 40,Cygnet
CYR 41,Cygnet
CYR 42,Cygnet
CYR 43,Cygnet
CYR 44,Cygnet
CYR 45,Cygnet
CYR 46,Cygnet
CYR 47,Cygnet
CYR 48,Cygnet
CYR 49,Cygnet
CYR 50,Cygnet
CYR 51,Cygnet
CYR 52,Cygnet
CYR 53,Cygnet
CYR 54,Cygnet
CYR 55,Cygnet
CYR 56,Cygnet
DC 01,KI Tribs
DC 02,KI Tribs
DMR 01,DeMole
DMR 02,DeMole
DMR 03,DeMole
DMR 04,DeMole
DMR 05,DeMole
DMR 06,DeMole
DMR 07,DeMole
DMR 08,DeMole
DMR 09,DeMole
DMR 10,DeMole
DMR 11,DeMole
DMR 12,DeMole
DMR 13,DeMole
DMR 14,DeMole
EB 01,KI Tribs
ER 01,Elanor
ER 02,Elanor
ER 03,Elanor
ER 04,Elanor
ER 05,Elanor
ER 06,Elanor
ER 07,Elanor
ER 08,Elanor
ER 09,Elanor
ER 10,Elanor
ER 11,Elanor
ER 12,Elanor
GC 01,KI Tribs
GC 02,KI Tribs
GC 03,KI Tribs
HR 01,Harriet
HR 02,Harriet
HR 03,Harriet
HR 04,Harriet
HR 05,Harriet
HR 06,Harriet
HR 07,Harriet
HR 08,Harriet
HR 09,Harriet
HR 10,Harriet
HR 11,Harriet
HR 12,Harriet
HR 13,Harriet
HR 14,Harriet
HR 15,Harriet
K 01,KI Tribs
